Código;Equipo;$
PMP121500000;MultiPlus 12/500/20-16 230V VE.Bus;198.95
PMP121800000;MultiPlus 12/800/35-16 230V VE.Bus;256.45
PMP122120000;MultiPlus 12/1200/50-16 230V VE.Bus;313.95
PMP122160000;MultiPlus 12/1600/70-16 230V VE.Bus;447.92
PMP122200000;MultiPlus 12/2000/80-32 230V VE.Bus;626.75
CMP121800000;MultiPlus Compact 12/800/35-16 230V VE.Bus;319.70
CMP122120000;MultiPlus Compact 12/1200/50-16 230V VE.Bus;452.52
CMP122160000;MultiPlus Compact 12/1600/70-16 230V VE.Bus;507.15
CMP122200000;MultiPlus Compact 12/2000/80-30 230V VE.Bus;651.48
PMP122300001;MultiPlus 12/3000/120-16 230V VE.Bus;847.55
PMP123021010;MultiPlus 12/3000/120-50 230V VE.Bus;914.82
PMP122305010;MultiPlus-II 12/3000/120-32 230V;786.60
PMP122505012;MultiPlus-II 12/5000/220-50 230V;1,252.92
PMP241500000;MultiPlus 24/500/10-16 230V VE.Bus;198.95
PMP241800000;MultiPlus 24/800/16-16 230V VE.Bus;256.45
PMP242120000;MultiPlus 24/1200/25-16 230V VE.Bus;313.95
PMP242160000;MultiPlus 24/1600/40-16 230V VE.Bus;447.92
PMP242200000;MultiPlus 24/2000/50-32 230V VE.Bus;527.85
CMP242160000;MultiPlus Compact 24/1600/40-16 230V VE.Bus;481.85
CMP242200000;MultiPlus Compact 24/2000/50-30 230V VE.Bus;616.98
PMP242300001;MultiPlus 24/3000/70-16 230V VE.Bus;762.45
PMP242301011;MultiPlus 24/3000/70-50 230V VE.Bus;823.40
PMP242305010;MultiPlus-II 24/3000/70-32 230V;598.00
PMP242306000;MultiPlus-II 24/3000/70-32 230V GX;649.18
PMP245021010;MultiPlus 24/5000/120-100 230V VE.Bus;1,344.92
PMP242505010;MultiPlus-II 24/5000/120-50 230V;1,252.92
PMP481500000;MultiPlus 48/500/6-16 230V VE.Bus;166.75
